time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1700076784, 12, 4, 14200, 12, 248651, 56.97, 56.90
1700076797, 12, 4, 14200, 12, 650480, 59.89, 59.90
1700076809, 12, 4, 14200, 11, 926480, 61.84, 62.80
1700076821, 12, 4, 14200, 12, 325151, 62.81, 63.30
1700076833, 12, 4, 14200, 11, 880461, 64.76, 64.70
1700076845, 12, 4, 14200, 11, 949059, 66.70, 66.70
1700076857, 12, 4, 14200, 11, 856032, 67.19, 67.20
1700076868, 12, 4, 14200, 11, 616912, 67.68, 67.60
1700076881, 12, 4, 14200, 12, 738935, 66.70, 66.70
1700076894, 12, 4, 14200, 12, 586978, 67.19, 67.20
1700076906, 12, 4, 14200, 11, 840195, 69.63, 69.60
1700076918, 12, 4, 14200, 12, 252558, 69.14, 69.10
1700076930, 12, 4, 14200, 12, 428268, 68.65, 68.60
1700076942, 12, 4, 14200, 11, 880487, 69.63, 69.60
1700076954, 12, 4, 14200, 11, 969277, 69.14, 69.10
1700076966, 12, 4, 14200, 11, 897742, 70.60, 70.60
1700076979, 12, 4, 14200, 12, 607102, 69.63, 69.60
1700076991, 12, 4, 14200, 11, 944016, 71.09, 71.10
1700077003, 12, 4, 14200, 12, 19784, 71.09, 71.10
1700077015, 12, 4, 14200, 12, 174385, 73.52, 73.50
1700077027, 12, 4, 14200, 11, 787820, 70.60, 72.00
1700077039, 12, 4, 14200, 11, 842603, 72.55, 72.50
1700077051, 12, 4, 14200, 12, 21834, 71.58, 71.50
1700077062, 12, 4, 14200, 11, 397582, 72.55, 72.50
1700077075, 12, 4, 14200, 12, 415562, 71.09, 71.10
1700077087, 12, 4, 14200, 12, 326956, 72.06, 72.00
1700077099, 12, 4, 14200, 12, 232047, 71.58, 71.50
1700077112, 12, 4, 14200, 12, 113028, 72.06, 72.00
1700077124, 12, 4, 14200, 11, 825231, 73.04, 73.50
1700077135, 12, 4, 14200, 11, 563399, 72.55, 72.50
1700077148, 12, 4, 14200, 12, 421330, 72.55, 72.50
1700077160, 12, 4, 14200, 12, 94613, 73.52, 73.50
1700077172, 12, 4, 14200, 12, 373956, 72.06, 72.00
1700077184, 12, 4, 14200, 12, 249210, 72.55, 72.50
1700077196, 12, 4, 14200, 11, 935471, 72.06, 72.00
1700077208, 12, 4, 14200, 11, 899216, 72.06, 73.00
1700077221, 12, 4, 14200, 12, 217804, 72.55, 72.50
1700077233, 12, 4, 14200, 12, 538943, 71.09, 71.50
1700077245, 12, 4, 14200, 11, 886209, 73.04, 72.00
1700077257, 12, 4, 14200, 11, 859548, 72.55, 72.50
1700077269, 12, 4, 14200, 11, 992111, 72.55, 72.50
1700077282, 12, 4, 14200, 12, 692244, 71.58, 71.50
1700077294, 12, 4, 14200, 11, 966219, 74.01, 74.00
1700077306, 12, 4, 14200, 12, 303983, 72.06, 72.00
1700077318, 12, 4, 14200, 12, 236930, 71.58, 71.50
1700077331, 12, 4, 14200, 12, 598280, 71.09, 71.10
1700077344, 12, 4, 14200, 13, 388181, 71.09, 71.10
1700077356, 12, 4, 14200, 11, 963397, 72.55, 72.50
1700077369, 12, 4, 14200, 12, 240721, 73.52, 73.50
1700077381, 12, 4, 14200, 12, 34732, 73.52, 73.50
1700077393, 12, 4, 14200, 12, 316226, 72.55, 72.50
1700077406, 12, 4, 14200, 12, 349212, 74.50, 74.50
1700077418, 12, 4, 14200, 12, 548637, 72.55, 72.50
1700077432, 12, 4, 14200, 13, 398334, 74.01, 74.00
1700077444, 12, 4, 14200, 12, 511922, 72.06, 72.00
1700077457, 12, 4, 14200, 12, 415008, 72.06, 72.00
1700077469, 12, 4, 14200, 12, 340990, 72.06, 72.00
1700077481, 12, 4, 14200, 11, 917833, 72.55, 72.50
1700077493, 12, 4, 14200, 12, 45238, 73.04, 74.00
1700077505, 12, 4, 14200, 11, 960010, 73.52, 73.50
1700077517, 12, 4, 14200, 11, 840170, 73.04, 73.00
1700077529, 12, 4, 14200, 11, 930843, 74.50, 74.50
1700077542, 12, 4, 14200, 13, 46076, 71.58, 71.50
1700077555, 12, 4, 14200, 13, 135635, 72.06, 71.10
1700077567, 12, 4, 14200, 12, 22255, 73.04, 73.00
1700077579, 12, 4, 14200, 12, 240865, 73.04, 73.00
1700077592, 12, 4, 14200, 12, 430827, 74.01, 73.00
